State,Population,Land_Area_Sq_Mi,Population_Density,Political_Party
Alabama,5024279,50645,99.205825,-15
Alaska,733391,570641,1.285206,-8
Arizona,7151502,113594,62.956688,-2
Arkansas,3011524,52035,57.874969,-16
California,39538223,155779,253.809711,13
Colorado,5773714,103642,55.708246,4
Connecticut,3605944,4842,744.722016,7
Delaware,989948,1949,507.926116,7
Florida,21538187,53625,401.644513,-3
Georgia,10711908,57513,186.251943,-3
Hawaii,1455271,6423,226.571851,14
Idaho,1839106,82643,22.253621,-18
Illinois,12812508,55519,230.776995,7
Indiana,6785528,35826,189.402334,-11
Iowa,3190369,55857,57.116727,-6
Kansas,2937880,81759,35.933414,-10
Kentucky,4505836,39486,114.112242,-16
Louisiana,4657757,43204,107.808467,-12
Maine,1362359,30843,44.170768,2
Maryland,6177224,9707,636.367982,14
Massachusetts,7029917,7800,901.271410,15
Michigan,10077331,56539,178.236810,-1
Minnesota,5706494,79627,71.665315,1
Mississippi,2961279,46923,63.109328,-11
Missouri,6154913,68742,89.536426,-10
Montana,1084225,145546,7.449363,-11
Nebraska,1961504,76824,25.532438,-13
Nevada,3104614,109781,28.280067,-1
New Hampshire,1377529,8953,153.862281,1
New Jersey,9288994,7354,1263.121295,6
New Mexico,2117522,121298,17.457188,3
New York,20201249,47126,428.664623,10
North Carolina,10439388,48618,214.722695,-3
North Dakota,779094,69001,11.291054,-20
Ohio,11799448,40861,288.770417,-6
Oklahoma,3959353,68595,57.720723,-20
Oregon,4237256,95988,44.143601,6
Pennsylvania,13002700,44743,290.608587,-2
Rhode Island,1097379,1034,1061.294971,8
South Carolina,5118425,30061,170.267955,-8
South Dakota,886667,75811,11.695757,-16
Tennessee,6910840,41235,167.596459,-14
Texas,29145505,261232,111.569429,-5
Utah,3271616,82170,39.815212,-13
Vermont,643077,9217,69.770750,16
Virginia,8631393,39490,218.571613,3
Washington,7705281,66456,115.945603,8
West Virginia,1793716,24038,74.620018,-22
Wisconsin,5893718,54158,108.824513,-2
Wyoming,576851,97093,5.941221,-25
